股份代號 Stock Code,股份名稱 Stock Name,,,,,,,,,,,,,,,
0001.HK,"CKH HOLDINGS
長和",,,,,,,,,,,,,,,
0002.HK,"CLP HOLDINGS
中電控股",,,,,,,,,,,,,,,
0003.HK,"HK & CHINA GAS
香港中華煤氣",,,,,,,,,,,,,,,
0005.HK,"HSBC HOLDINGS
滙豐控股",,,,,,,,,,,,,,,
0006.HK,"POWER ASSETS
電能實業",,,,,,,,,,,,,,,
0011.HK,"HANG SENG BANK
恒生銀行",,,,,,,,,,,,,,,
0012.HK,"HENDERSO N LAND
恒基地產",,,,,,,,,,,,,,,
0016.HK,"SHK PPT
新鴻基地產",,,,,,,,,,,,,,,
0027.HK,"GALAXY ENT
銀河娛樂",,,,,,,,,,,,,,,
0066.HK,"MTR CORP ORATION
港鐵公司",,,,,,,,,,,,,,,
0101.HK,"HANG LUNG PPT
恒隆地產",,,,,,,,,,,,,,,
0175.HK,"GEELY AUTO
吉利汽車",,,,,,,,,,,,,,,
0241.HK,"ALI HEALTH
阿里健康",,,,,,,,,,,,,,,
0267.HK,"CITIC
中信股份",,,,,,,,,,,,,,,
0285.HK,"BYD ELECT RONIC
比亞迪電子",,,,,,,,,,,,,,,
0288.HK,"WH GROUP
萬洲國際",,,,,,,,,,,,,,,
0291.HK,"CHINA RES BEER
華潤啤酒",,,,,,,,,,,,,,,
0316.HK,OOIL 東方海外國際,,,,,,,,,,,,,,,
0322.HK,"TINGYI
康師傅控股",,,,,,,,,,,,,,,
0386.HK,"SINOPEC
CORP 中國石油化工股份",,,,,,,,,,,,,,,
0388.HK,"HKEX
香港交易所",,,,,,,,,,,,,,,
0669.HK,"TECHTRON IC IND
創科實業",,,,,,,,,,,,,,,
0688.HK,"CHINA OVERSEAS
中國海外發展",,,,,,,,,,,,,,,
0700.HK,"TENCENT
騰訊控股",,,,,,,,,,,,,,,
0762.HK,"CHINA UNICOM
中國聯通",,,,,,,,,,,,,,,
0823.HK,"LINK REIT
領展房產基金",,,,,,,,,,,,,,,
0836.HK,"CHINA RES POWER
華潤電力",,,,,,,,,,,,,,,
0857.HK,"PETROCHI
NA 中國石油股份",,,,,,,,,,,,,,,
0868.HK,"XINYI GLASS
信義玻璃",,,,,,,,,,,,,,,
0881.HK,"ZHONGSH ENG HLDG
中升控股",,,,,,,,,,,,,,,
0883.HK,"CNOOC 中國
海洋石油",,,,,,,,,,,,,,,
0939.HK,"CCB
建設銀行",,,,,,,,,,,,,,,
0941.HK,"CHINA MOBILE
中國移動",,,,,,,,,,,,,,,
0960.HK,"LONGFOR GROUP
龍湖集團",,,,,,,,,,,,,,,
0968.HK,"XINYI SOLAR
信義光能",,,,,,,,,,,,,,,
0981.HK,"SMIC
中芯國際",,,,,,,,,,,,,,,
0992.HK,"LENOVO GROUP
聯想集團",,,,,,,,,,,,,,,
1024.HK,"KUAISHOU
‑ W 快手 ‑ W",,,,,,,,,,,,,,,
1038.HK,"CKI HOLDINGS
長江基建集團",,,,,,,,,,,,,,,
1044.HK,"HENGAN INT'L
恒安國際",,,,,,,,,,,,,,,
1088.HK,"CHINA SHENHUA
中國神華",,,,,,,,,,,,,,,
1093.HK,"CSPC PHARMA
石藥集團",,,,,,,,,,,,,,,
1099.HK,"SINOPHAR
M 國藥控股",,,,,,,,,,,,,,,
1109.HK,"CHINA RES LAND
華潤置地",,,,,,,,,,,,,,,
1113.HK,"CK ASSET
長實集團",,,,,,,,,,,,,,,
1177.HK,"SINO BIOP
HARM 中國生物製藥",,,,,,,,,,,,,,,
1209.HK,"CHINA RES
MIXC 華潤萬象生活",,,,,,,,,,,,,,,
1211.HK,"BYD COMPANY
比亞迪股份",,,,,,,,,,,,,,,
1299.HK,"AIA
友邦保險",,,,,,,,,,,,,,,
1378.HK,"CHINAHO NGQIAO
中國宏橋",,,,,,,,,,,,,,,
1398.HK,"ICBC
工商銀行",,,,,,,,,,,,,,,
1810.HK,"XIAOMI ‑
W 小米集團
‑ W",,,,,,,,,,,,,,,
1876.HK,"BUD APAC
百威亞太",,,,,,,,,,,,,,,
1928.HK,"SANDS CHINA LTD
金沙中國有限公司",,,,,,,,,,,,,,,
1929.HK,"CHOW TAI FOOK
周大福",,,,,,,,,,,,,,,
1997.HK,"WHARF REIC
九龍倉置業",,,,,,,,,,,,,,,
2015.HK,"LI AUTO ‑
W 理想汽車
‑ W",,,,,,,,,,,,,,,
2020.HK,"ANTA SPORTS
安踏體育",,,,,,,,,,,,,,,
2269.HK,"WUXI BIO
藥明生物",,,,,,,,,,,,,,,
2313.HK,"SHENZHO U INTL
申洲國際",,,,,,,,,,,,,,,
2318.HK,"PING AN
中國平安",,,,,,,,,,,,,,,
2319.HK,"MENGNIU DAIRY
蒙牛乳業",,,,,,,,,,,,,,,
2331.HK,"LI NING
李寧",,,,,,,,,,,,,,,
2359.HK,"WUXI APPTEC
藥明康德",,,,,,,,,,,,,,,
2382.HK,"SUNNY OPTICAL 舜
宇光學科技",,,,,,,,,,,,,,,
2388.HK,"BOC HONG KONG
中銀香港",,,,,,,,,,,,,,,
2628.HK,"CHINA LIFE
中國人壽",,,,,,,,,,,,,,,
2688.HK,"ENN ENERGY
新奧能源",,,,,,,,,,,,,,,
2899.HK,"ZIJIN MINING
紫金礦業",,,,,,,,,,,,,,,
3690.HK,"MEITUAN ‑
W 美團 ‑ W",,,,,,,,,,,,,,,
3692.HK,"HANSOH PHARMA
翰森製藥",,,,,,,,,,,,,,,
3968.HK,"CM BANK
招商銀行",,,,,,,,,,,,,,,
3988.HK,"BANK OF CHINA
中國銀行",,,,,,,,,,,,,,,
6618.HK,"JD HEALTH
京東健康",,,,,,,,,,,,,,,
6690.HK,"HAIER SMA RTHOME
海爾智家",,,,,,,,,,,,,,,
6862.HK,"HAIDILAO
海底撈",,,,,,,,,,,,,,,
9618.HK,"JD ‑ SW
京東集團 ‑ SW",,,,,,,,,,,,,,,
9633.HK,"NONGFU SPRING
農夫山泉",,,,,,,,,,,,,,,
9888.HK,"BIDU ‑ SW
百度集團 ‑ SW",,,,,,,,,,,,,,,
9901.HK,"NEW ORIENTAL
‑ S 新東方 ‑ S",,,,,,,,,,,,,,,
9961.HK,"TRIP.COM ‑
S 攜程集團 ‑ S",,,,,,,,,,,,,,,
9988.HK,"BABA ‑ W
阿里巴巴 ‑ W",,,,,,,,,,,,,,,
9999.HK,"NTES ‑ S
網易 ‑ S",,,,,,,,,,,,,,,
